"","title","writer","written","rating","comment"
"671","Many Amazing Historical Items","FLWOOKIE","Dec 2019",5,"today we went to the british museum and it was amazing they had many artifacts from different time periods all over the world their main object is the original rosetta stone this has been one of my favorite places i have been in london "
"672","British Museum","MJR","Dec 2019",5,"loved every minute of itit was very interesting particularly the egypt and greek civilizations i highly recommend it"
"673","Tea Time","James B","Dec 2019",5,"we had pre booked the high tea that is offered from pm booking was required and we had to wait until exactly  to be seated it was a very enjoyable afternoon if you like this kind of experience i recommend"
"674","Extraordinary","Logotipo","Dec 2019",5,"fantastic jumbo museum need to spend there a whole day to see something and must get a guided tour so that you understand what you are seeing "
"675","Rosetta Red Carpet","Pete & Lesley","Dec 2019",4,"great museum phenomenal exhibits but some of them get more crowds than others particularly the rosetta stone best for people who are tall or have pointy elbows as this one was crazy busy lunch here is a problem though if you dont want to use the restaurant as there was…"
"676","So much to see - pick your Must-See and go straight there","Jeff K","Dec 2019",5,"the bm is a wonderful place it is very easy to spend many hours wandering the halls seeing the exhibits even the most humble objects have inspiring stories if there are objects you really want to see then go find them first then just wander back to the exit and look at…"
"677","Excellent exhibitions ","Rivka G","Dec 2019",5,"the troyan exhibition is outstanding in all aspects information exhibits pictures archeology art etc the drawings exhibition was very good especially the works of kate kolwitch the islamic influence on western art is less embracive the shop and food are very good the…"
"678","Long visit ","Marian B","Dec 2019",3,"entry is for free apart of the special exhibitions its really big on many floors many pieces are not originals bit despite its a nice journey through the history of humanity to come across completely takes more than one day "
"679","Very interesting,very tiring","G<U+0399>O<U+03A1>G<U+039F>S <U+039C>","Dec 2019",5,"on of the best museums ever but also very tiring if you are accompanied by children also really small café"
"680","  As If One Needed A Reason to Go to the British Museum – The Troy Exhibit Certainly Beckons You","ElTouristo61","Dec 2019",5,"the british museum—dedicated to worldwide culture art and history—is overflowing with unique exhibits and some  million objects enough to keep one busy for several days open since the late th century the museum owes much of its collection to the days of the british…"
"681","How could one not like this place?","YosemiteTraveler875","Dec 2019",5,"this museum is absolutely stunning  i only had a few hours to spend in a place that could easily occupy a curious mind for a month  if given the opportunity i‘d spend entire weekends gazing in awe at all the collections  the fact that there is no entry fee only a request for…"
"682","So Much World History, and Free!","Brad G","Dec 2019",5,"you could spend a month here or  hrs like we did which seemed to take us through the world on a time machine see the rosetta stone egyptian artifacts  mummies the portland vase and so much more and unlike most attractions in europe it is completely free but does…"
"683","Doing the tourist thing!","jomaud","Dec 2019",4,"had friends down from glasgow so visited here havent been for many years galleries improved and enjoyed pantheon friezesquite crowded but still enjoyable"
"684","Wondwrful","capecodkaren009","Dec 2019",5,"had a wonderful visit here so much to see and do  large crowds and there are cafes to get a bite to eat"
"685","A place to visit again and again.","He, She and Me","Dec 2019",5,"this amazing free museum is a delightful place to explore we always begin with the rosetta stone my favourite the diversity of artefacts on display from around the world enable visitors to learn about and experience so many cultures in one place which appeals to young and…"
"686","Return visit to one of the World's most famous museums","Charles_Ultimo","Dec 2019",5,"ive visited london six times and ensured that each itinerary includes the british museum which is one of the worlds most renowned institutions  its collection of artifacts from civilisations across antiquity is  superb and a visitor can become immersed in ages past the bm…"
"687","Best Natural History Museum in the World","Gary H","Dec 2019",5,"folks if you love history and are fascinated by ancient artifacts from literally around the world then the british museum is tailor made for you plan to spend a day or two to see all that awaits you the best part is that it is free wear some very comfortable shoes"
"688","the most amazing museum","Maria B","Dec 2019",5,"i know that people complain and say that a lot of the stuff was from other countries and should be given back but i think that because its here at the british museum it was preserved so well and taken such good care of probably in the native country it would have been looted…"
"689","Visit ","mrandyreynolds","Dec 2019",3,"its a great place for people who are i interested in history for others its like a car boot sale lots of stuff with an odd highlight  it would be a great improvement if the top highlights were detailed on a guide for the general visitor  queuing process in place through…"
"690","Endless fund and discovery","Olivia F","Dec 2019",5,"we go regularly walk around the british museum my son likes the egyptian room and the persian collection most i sometimes choose the bm to meet up with friends have a cup of coffee i like the atmosphere"
"691","Free enter and make a donation","Miguel Ângelo R... R","Dec 2019",5,"you can see the mumies here and lots of interesting things from all over the world you can enter for free or make a donation to the museum"
"692","Christmas in London","Sissel T","Dec 2019",5,"we are so happy with our visit here great for all smal and old have your lunch outside maybe in a pub "
"693","Brilliant","Hillster40","Dec 2019",4,"amazing place with lots to see the kids were a little bored as its a fair amount of walking which equals tired legs  but if they are interested in history especially egypt then its a must "
"694","One of the most important collection of artifacts","travelsafer","Dec 2019",5,"this museum houses one of the most important and priceless collection of artifacts in the world it is a mustsee if you are in london entrance is free"
"695","Incredible window on the Past","David B","Dec 2019",5,"free entry and amazing exhibits with special emphasis on egyptian greco roman and early british history the british museum is a cornucopia of knowledge that is enlightening and entertaining a must do in london"
"696","Very impressive!","isabel_obu","Dec 2019",5,"we were only in here for  hour due to a time crunch during our time in london  however we did the free rick steves podcast audio tour and it was perfect for some highlights  i can imagine that i could spend a ton more time in there even not being a museum person"
"697","Why I did not donate to the British Museum, and why I will not visit it again","Evelyn M","Dec 2019",1,"on my latest visit to the uk i had on my wish list to visit the british museum which i did although it was not my first visit i was yet once again impressed by its lavish and impressive exhibits the range of cultures and nations represented is incredible and that of…"
"698","One of our best days in London","YenChen555","Dec 2019",5,"actually the british museum was not a ‘mustdo’ on our list we were on our way to the tower of london when it started to rain  so we made the detour to the british museum kid was at first restless too  but we quickly managed to solve that issue with the audio and honestly…"
"699","A day spent well with my wife <U+2764><U+FE0F> ","Pedro C","Dec 2019",5,"my wife got her visa to live with me after  years of long distant relationship always seen each other every  months for  weeks so i decided to take my wife to know a little history after her permanent visa got granted in uk lol uf we loved the egyptian and roman history…"
"700","Too much to see, so little time.","Chattykatie1992","Dec 2019",5,"great to visit without crowds i appreciated the pictures and stories for the ancient finds several food options exhibits good for any age over  they have family events good directions in the museum but i would recommend the headphone tour"
"701","Tour with Valuable Rick Steves Free Audio Download!","Eileen108","Dec 2019",5,"i highly recommend downloading rick steves free audio tour of the british museum do an online search he walks us through the highlights and gives  many interesting details which makes it all the more meaningful i totally enjoyed my minute visit"
"702","Amazing collection","Emilybalcombe","Dec 2019",5,"tbe lobby is great i like the collection across the globe especially the pyramid section i felt im in egypt during the pharoah times lol thank you guys for the excellent visit i will definitely coming back again"
"703","very impressive","Eliane s","Dec 2019",5,"huge museum  you can get lost and spend hours in it i recommend to take the audio guide and follow the top  items tour it takes you to  pieces from different eras in different rooms of the museum in between it takes you through most of the galleries loved it "
"704","Nice","Susan C","Dec 2019",5,"this place is really nice i love that wed know the place our guide was informative and cheerful good job"
"705","If you’re looking for a quick visit ...","liz e","Dec 2019",5,"if you’re looking for a quick visit look online to see what will peak your interest most and it’s location so that you can see it first the museum which opened in  was the world’s first national public museum it is so large and filled with so many things that it would…"
"706","The Assyrian wall carvings are amazing","Jamie","Dec 2019",5,"one of the best attractions in london great layout some very dodgy exhibit sponsorship in places was the only downside"
"707","A Must See","AaronS0421","Dec 2019",5,"if you are at all interested in history or culture the british museum is a must visit when in london there are so many treasures and artifacts here will it be crowded probably but don’t let that stop you this museum is worth the time you spend there also since it is a free…"
"708","One of my favorite stops in London","YMRob","Dec 2019",5,"this is such a pleasure to visit i must confess that if only to see the egyptian section it merits the visit the museum can be overwhelming so pick your section carefully to avoid being overwhelmed there is much to see for all ages and tastes"
"709","Perfect outing for the family","Chu L","Dec 2019",5,"if you’re fascinated with history this will be the place the museum is massive and you could take all day to immerse yourself with artifacts and collection of antiquities you must spend at least a full day to truly enjoy and absorb all the various areas in the museum"
"710","Highly recommended tour for all ages. Free Entry","Hanan H. Qureshi","Dec 2019",4,"this place offer grear history and amazing information entry to most of london museums is free including this museum   for reaching to this attraction please use transport of london site google or any other application   "
"711","A Great Experience","Neil F","Dec 2019",5,"a must see in london there is so much to  view here that you probably need to spread it over a few days "
"712","Brilliant museum","European-Bookworm","Dec 2019",5,"we have visited a few times and our little one asked if she could go after watching night at the museum  great to show children this before they go if they’re not naturally into museums or would prefer to be playing on their games console the ancient egyptian section is a…"
"713","A Walk through ancient history","Cathy J","Dec 2019",5,"i was surprised by how large this museum was it was a walk through the history of our world with authentic pieces of art and artifacts from the greek romans egyptians tge america’s and more i enjoyed learning about their cultures and customs and the displays were…"
"714","Excellent museum","Coopergiles","Dec 2019",5,"we visited this museum and it was great it was free to get in and some of the room are not free i highly recommend it thank you for the free visit  i will come back again"
"715","Good Exhibitions  ","nickyhill2015","Dec 2019",4,"free entry — but please leave a donation as this helps to keep some great exhibits here there are some great exhibitions and really enjoyed the ancient greeks egyptian and roman uk and learning the history from the information next to the exhibit fantastic architectural dome…"
"716","Impressive, Worth The Time","JCW703","Dec 2019",4,"an impressive museum vast would be appropriate the atrium is truly enjoyable worth passing some time just people watching my biggest gripe is that there is a lack of  trashcans in the atrium"
"717","Among the World’s best but not for Celiacs","treecutter","Dec 2019",1,"this museum must be one of the best if not the best broad spectrum institution in the world   it’s artefacts styles of presentation and it’s ability to provide historical and contextual interpretation is second to none  having said that the governors need to consider catering…"
"718","D1 - British Museum","Wander & Wonder","Dec 2019",4,"visited the british museum as first stop it opens at am and is free admission there were many collections of exhibits over  floors we saw the egyptian asian living dead and part of china jade exhibits very nice clean and they have an open plaza in the middle with gift…"
"719","Great museum but way too many people!","alt602016","Dec 2019",3,"we went to visit the egyptian room so that the children could see the mummies which they were studying at schoolit was raining  the museum was packed way too many people and the kids were constantly jostled  pushed to the point where they really could not see what we had…"
"720","Get lost in time","Mari6","Dec 2019",4,"you can spend whole day here experiencing the history of mankind i decided to focus on egypt this time and not to try to see everything "
"721","Mind blowing ","327Aries","Dec 2019",5,"this museum owns one of the largest if not the largest selections of antiquities anywhere in the world  egyptian persian assyrian chinese greek and many other ancient civilizations were represented and in abundance  entrance is free but i’d recommend renting the audio…"
"722","Beautiful Achilles, Helen and Cassandra","Marianne C","Dec 2019",4,"tottenham court tube turn tight and right again and  minute walk bc and you’re going through security and up the wide steps to an amazing building with amazing stuff inside   visited bp troy exhibition and enjoyed it though we each liked different parts so it depends on your…"
"723","Wonderful exhibition and experience","Luciana B","Dec 2019",5,"i went to see “troy myth and reality” with an elderly friend  the exhibition is amazing and the staff is very helpful and friendly we’ve got a wheelchair from the museum which made our visit much more comfortable   if you’re disabled don’t worry about going to the british…"
"724","Free free free ","George G","Dec 2019",5,"once you walk in after giving a donation since the museum is free we walked around and explore part of the museum since it’s pretty big and packed enjoyed the greece and egyptian rooms along with north america and méxico rooms you cannot bring with you a roller bag saw…"
"725","Lot's of Great Exhibits","SteveNScottsdale","Dec 2019",5,"ive been in the british museum several times and always enjoy it  it is very large with much to interest about anyone  but like lots of museums it is always very crowded so take your patience  "
"726","Late Friday evening visit.","Mickey H","Dec 2019",4,"need more time to appreciate this attraction you could spend all day in here it is an amazing place"
"727","Too big for just one day","Michael3288","Dec 2019",5,"we were only able to scratch the surface of the marvelous collection your choice is scan quickly and try to see about  percent or come back two ior three times and savor the quality of the treasures inside there were a great number of people trying to do the former and could…"
"728","A Treasure House","David S","Dec 2019",5,"the accumulated loot of an empire enough to keep you busy for days even just the highlights free to enter rightly very popular there can be queues for admission"
"729","The Best","Emma B","Dec 2019",5,"the most unbelievable collection of historical artifacts so much to see but unfortunately so little time next time i will book an official guide to help navigate all these marvels so well kept"
"730","A realy great museum! ","NIKOS9O","Dec 2019",5,"the exhibits are amazing they are extremely well preserved and  displayed it is  worth visiting if you are in london one of the greatest museums i have ever been to "
"731","Inspired by the east","RiverWear","Dec 2019",5,"the museum has introduced an extra security level and queuing system to enter security guards are checking bags and then a line of youthful employees encouraging you to give  to enter and support the upkeep of the museum i had prebooked tickets to see the exhibition…"
"732","Back to the past","Jovana Nikolich","Dec 2019",5,"i visit the british museum  yesterdayand i was left without  words from the amazing  collection  which the museum has for sure will come back with friends"
"733","Good museum","SteffanTvete","Dec 2019",4,"the lobby as seen in pictures is a great view worth the trip itself  the amount of items in this museum is extra ordinary you can walk here for hours and study them  a lot to see and a lot to learn  coffee shops are ok and i like that there is several ones spread out…"
"734","Lovely but not well sign posted. ","Alan B","Dec 2019",4,"go early beat the crowds sunday just after am was best lots to see but you wander around not knowing where you are or where youve been on the way out when we found it realised we could have bought a map you are left to your own devices to find rooms its free so a…"
"735","Magnificent","Margaret A","Dec 2019",5,"one of my favourite museums so much to see and need a week to experience every inch of the huge building the only negative are the eating areas but they are sufficient the staff that serve at the counter are exceptional and very kind we are so lucky to have this museum and…"
"736","Get lost in Ancient Civilisations ","JuliaL59418","Dec 2019",5,"the range of exhibits and prices from societies and cultures all over the world was truly awe inspiring and humbling to see artefacts that we’re created treasured and used by people who lived thousands of years ago was amazing the level of sophistication that all of these…"
"737","A Must See","Michelle S","Dec 2019",5,"it’s a beautiful place even without going to see an exhibition though the exhibits are amazing and well worth seeing it’s that beautiful roof they have  it uplifts they spirit and illuminates the heart if you have time maybe research a particular era you want to see …"
"738","Troy Exhibition","Albia-Newton","Dec 2019",3,"a fantastic collection of artwork and archeological finds slightly surprised that the normal excellent layout of bm special exhibitions was not up to its usual high standards exhibition overcrowded in places making it hard to enjoy as i would have like to"
"739","The centre of Culture","Milomir Nikolic","Dec 2019",5,"amazing building we spent around  hours to see all the attractions its a museum where you have in one place all the history and culture of the world aroundyou can see greekindianromanegyptianafricanchinesemoggolian historical collections each of them in different…"
"740","Quick visit ","Linda H","Dec 2019",5,"fantastic place to visit beautiful building a place to revisit many times as so much to see we visited the egyptian rooms and roman ones"
"741","Ready to spend hours inside?","laura r","Dec 2019",5,"this place is amazing all types of arts cultures and history inside one building is breathtaking if you are going to visit the british museum book at least one day because it is worth it"
"742","Amazing place","thinkingdoc","Dec 2019",5,"i went on two different days  used the audio you  did the docent lead tours as well learned so much"
"743","human history an culture","9manine","Dec 2019",5,"i never miss a chance to visit whenever i am in london i am an architect and i travel a lot enjoying museums the british museum is bye far my favorite  entrance for free but would be nice of you if you give a little donation to continue supporting this great institution  "
"744","Amazingly educational museum.","nina m","Dec 2019",5,"mummies rosetta stone samurai exhibition enough said seriously one of the most amazing museums in london but if you want to get a good shot of the rosetta stone show up early or be very patient"
"745","Incredible Historical Collections","Bobalobajob","Dec 2019",5,"wowfrom start to finish this is a must see totally incredible historical collections outstanding piece of architecture the main entrance canopy doesn’t fail to take your breath away and impressthe play of light through the glass convoy is just amazing the…"
"746","First visit ","Cristinela C","Dec 2019",5,"amazing place its like you are back in history again  all the knowledge you can learn about our human history  "
"747","So good! ","WillemvZ","Dec 2019",5,"went here early in the morning at  when it was still pretty quiet after an hour museum got more crowded everything is well kept and information is great   didnt realize this museum was so huge can easily spend days here "
"748","Stone Ancient Statues at BM","Julia D","Dec 2019",5,"i went to see the exhibition of ancient roman and assyrian stone statues i had seen the assyrian winged gate guardians in berlin and came to see the originals in london the exhibition was so good so many top quality examples of ancient cultures the original assyrian statues…"
"749","Impressive ","aldavril","Dec 2019",5,"one of the largest museums in the world  very impressive  you certainly need at least a few hours possibly a couple of days to fully explore plenty of staff around to help you on your way loads of relics from all over the world great shop and cafe and entrance is free "
"750","One of a kind","Andrew_in_Poznan","Dec 2019",5,"should not be missed best to know what you want to see since the collections are vast and the layout can be disorienting norman foster’s courtyard is amazing allow plenty of time"
"751","Fascinating !","SuzonB64","Dec 2019",4,"staying locally we were able to be there early and see the wonderful egyptian exhibitions before it got too busy a nice coffee break and then we toured the assyria and greek collections  marvelling at the collections   absolutely fascinating lots of families and schools…"
"752","Sad decline of a once great institution","MOLLY Bloom","Dec 2019",1,"its been a couple of years since i last visited this precious place and how it has gone down hill from the overkill of the security barriers and checks then straight into a row of people lined up to take your fiver donation then the highly overpriced cloakroom  pounds…"
"753","Brilliant ","Laurief21","Dec 2019",5,"a very interesting museum with very interesting display and a great cafe and a brilliant audio guide with plenty to interest kids with and thevery famous mummy’s "
"754","Interesting ","Stella N","Dec 2019",3,"huge building with exhibits from all over the world i was expecting since they have so many greek and egyptian exhibits at least to welcome people in these languages also since these exhibits attract the majority of people the entrance is free"
"755","Join the British Museum & Get Unlimited Access to Troy","jvm","Dec 2019",5,"yes entrance to the british museum is free but the museum does charge a handsome fee for its special exhibits i wanted to see troy myth and reality more than once plus relax in the serene members room so i joined for  a few dollars more than the preboris pound would…"
"756","Quick visit ","Henry T","Dec 2019",4,"had a quick look around but even just wandering through a few areas there’s an amazing amount to see i’m still embarrassed about the stuff that the brits gave stolen from around the world and yet still failed to return uf"
"757","Humongous ","arvint t","Dec 2019",4,"huge place we had half a day yet we could only see probably  of it do the egyptian segment first that had to be the highlight"
"758","The building alone makes it worth a visit!","Barry Taylor","Dec 2019",5,"the british museum really is a must see in london ive been there several times and it still impresses me  it contains countless treasures from around the world and yes it looks fairly normal from the outside but the glass covered central court is just stunning its the…"
"759","Excellent Tour and history.","LucasM","Dec 2019",5,"there are some rooms that you need to pay but we went to a free one like egypt it was fascinating to see tombs egyptian relic curved stones hieroglyphs and so on i felt that i went back time to pharaohs time i definitely recommend it who goes to the museum itself"
"760","It’s a good way to spend several hours","fire-tower","Dec 2019",4,"we visited the british museum on a thursday afternoon  there was now bag checks before you can enter the museum  we joined the guided tour which in  minutes have us a interesting background of a assyrian king after which we wandered around the museum to see the other…"
"761","Ancient worlds up close","Sam","Dec 2019",5,"this museum has gallery after gallery filled with the culture of many ancient civilisations each of which deserved more than the fraction of attention i could manage in a day  eating at the inhouse cafe was a mistake though soggy sandwiches and juice cost as much as a cooked…"
"762","Management","Vincent M","Dec 2019",5,"largest british museum very confontable  clean good buildings good security free admission  exhibitions for members and available concessions"
"763","Some what underwhelmed","Jonaton1","Dec 2019",2,"we went here having not been for many many years it’s was a busy sunday with lots of foreign tourists   perhaps it’s me but i found the whole experience rather dull there are some big exhibits but they all seemed to blend into one another so much writing about each…"
"764","Must see!","local","Dec 2019",5,"free good for families and children  amazing exhibitions new collections  a must see  nice selection of food and coldhot drinks"
"765","Crammed with everything","Teresa C","Dec 2019",5,"this was our sunday walk when it was raining as we lived  minutes away   how lucky was that its been renovated since i left england and its on the visiting list every time i come over whatever your taste  youll find it very interesting "
"766","A must visit when in London ","akiko_hiura","Dec 2019",5,"if youre interested in history you must visit the museum as they have a collection of all artefacts around the world its free to enter so a must visit "
"767","Library and exhibition","Brian Gale","Dec 2019",5,"fantastic  good studying facilities  lots of eateries coffee a bit pricey though lovely exhibitions and plenty of space excellent library to join and helpful staff too"
"768","Fascinating","Moya F","Dec 2019",5,"there is so much to see and we tried to get round all of it as we only had the one day to visit lots of places inside to sit get a drink bite to eat as needed outside in the grounds there is a stall selling hot drinks hotdogs waffles etc great if you want to get some…"
"769","Super","Demothesis","Dec 2019",5,"visited the museum in the past week with friends from out of town  they requested to see egyptian artefacts including mummies and the bm was the first place i thought of   still free although requested donations of  the bm is a national treasure not only could we see…"
"770","WORLD  HISTORY","Steven Runciman","Dec 2019",5,"history  from  all  around  the  world  all  gathered  here a  place  to  feel  proud  if  you  are  a  greek  or  egyptian but  not  only cant  miss  it "
"771","Treasure full of information.an relics","Ghanashyam M","Dec 2019",3,"only good if you are interested in historical things we enjoyed it but there is lot to read to understand things"
"772","Not so voluntary donations","Lorraine T","Dec 2019",4,"british museum is free with voluntary donations which i usually do but was planning to visit the troy exhibit at  per head so felt that was an adequate contribution given there were  of us so   however once through security we were directed to a voluntary contribution…"
"773","2018 Oct","M M","Dec 2019",4,"lots of stuff cozy and free i enjoyed my time there when it was raining and cold outside i thought rosetta stone was much bigger but you have to see it it makes you wonder the reason the museum is free that they may feel guilty about taking some items and refuse to return…"
"774","Fun","Finnur G","Dec 2019",5,"world class artifacts great coffee free admission perfect  beware that the line for the cloakroom can go on forever"
"775","Definitely worth a visit while in London","Tiffany_ve","Dec 2019",4,"very diverse collection and interesting temporary exhibitions  the entrance is for free so this is also a great museum to visit with someone who might not have so much museum experience to figure out if they like it  there is also a huge gift shop where you can buy nice…"
"776","Superb","Bryan S","Dec 2019",5,"just superb collection of displays  the building itself is a joy and displays memorable  from amazing  year old egyptian to victorian collectables  real pleasure andcreccomend for londoners and tourists alike  i lived london  years and only went later as a…"
"777","A MUST SEE","david p","Dec 2019",5,"every time i visit london i make it a point to visit this outstanding museum easy walking distance from totem court road"
"778","The Troy Experience","alanjbarker","Dec 2019",5,"at last this exhibition with artifacts on loan from other sources plunges you into the world of the lost city of troy its myths legends and realities walk among the gods and goddesses in a dramatic atmosphere of statues paintings and quotations i was surprised by how…"
"779","Travel the World in an hour","SolarT","Dec 2019",5,"see artifacts from middleeast greece rome africa and most every other classical civilization the displays are amazing along with the building spend an hour or a month in this museum you will not be disappointed did i mention it is free"
"780","Lots to see - wealth of collections","Globetrave","Dec 2019",5,"the british museum is just about mins walk from oxford street making it very convenient to visit the ground floor had the egyptian and greek display which were very good the egyptian mummies on the floor above were well kept and there was sufficient walking space even…"
"781","Great Museum and atmosphere","Mazen A","Dec 2019",5,"this is one of the best museums weve been as always visited few times and every time get impressed with the atmosphere of been very reputable and the display in different sections that make you think about the different cultures and how the history was many thanks for all…"
"782","One day ia not enough ","Medhat E","Dec 2019",5,"my take on this musem is that one day is not enough if you want to have a brief idea about all sections and the key pieces it is very well designed and organized the best and busiest section is the egyptian especially the mummies displays it was surprising to see this…"
"783","So much to see","LokiLaaLaa","Dec 2019",4,"beautiful building  so many rooms and so much to see  amazing exhibits  need a whole day time to reflect then another day and perhaps more"
"784","Always amazing ... just wonder in and wander around","AntSydney","Dec 2019",5,"you cant go wrong aside from the special exhibitions some of which you need to pay for or even book in advance wandering around is enthralling and enlightening amazing stories and objects but we need to keep asking questions about how those items found their way to the…"
"785","Breathtaking!","dsngharari","Dec 2019",5,"this was out first visit to the museum and we were only able to see the rosetta stone and the egypt exhibits there is no question that this place requires several visits with several hours dedicated to each its incredible"
"786","Floor upon floor","Kufunda","Dec 2019",4,"you need to visit the place several times to appreciate the immense selection of exhibits both for free or fee paying this time i targetted primarily the african floor which because of the layout people can still move around freely the exhibits were fascinating with very…"
"787","Spoilt for choice","Elderly Traveller","Dec 2019",5,"there is so much to see here you are spoilt for choice  there are usually special exhibitions eg the troy exhibition but there are masses of exhibits on all sorts of themes  the museum is free but does request donations from visitors  if you become a member you can avoid…"
"788","You could fill days in here","nhmo","Dec 2019",5,"awesome museum you really have to visit it to understand the magnitude of offerings had a great few hours exploring all the galleries"
"789","Just go there - it’s amazing!","BonnieN","Dec 2019",5,"i never get tired of the british museum it is beautiful and amazing and big and vast and everything you want it to be just go there you won’t be disappointed"
"790","A must see in London","Thivin Abeywickrama","Dec 2019",5,"a great wow for all the artifacts from around the world which is in this museum you can learn so many things and be mesmerized by the vast number of artifacts in this museum i personally loved the egypt collection of mummies tombs statues and other artifacts you can take…"
"791","Stunning","williamhannah1949","Dec 2019",5,"information overload  one day just not enough cant wait for return visitfrom moment you enter you are dumbstruck "
"792","Interesting but busy ","Andrew H","Dec 2019",4,"some awesome artefacts including the rosetta stone and mummies  interesting day out for all and worth a visit just be prepared for the crowds "
"793","Must visit museum in London","Taryn C","Dec 2019",5,"it deserves a great ‘wow’ and ‘excellent’ go visit it won’t disappoint you but prepare it would take you days to review every piece of item in the museum suggest to spend at least few hours there if it’s your first visit"
"794","Of Course I’ve Been..","BethanyAnneMiller","Dec 2019",5,"as a history student you have to go it’s such a wonderful place full of treasures you have to visit and see it take your time there too you’ll need it  "
"795","Fabulous exhibition ‘Troy’ - shame about the facilities","bootstogo","Dec 2019",4,"it would have been stars but for state of the loos it might seem petty to complain about the state of the toilets but the british museum is one of the top sites in london if not in the country but what impression do visitors leave with if their experience is anything like…"
"796","Plan Your Time Well","Canuck On The Road","Dec 2019",5,"one day is never long enough to explore the british museum it from the moment you enter  a day is not enough speed viewing will leave you feeling you missed something we planned a full day with breaks a various exhibitions enjoyed the currency exhibition and troy currently…"
"797","An entire history of the world in one place","Klaudia Klu","Dec 2019",5,"if you get to london you must visit the british museum a few hours are not enough to see all the galleries you will be impressed of the entire world history caught in one place "
"798","Days of visits worth of history in one building","Evan H","Dec 2019",5,"the british museum displays much of the most historically important plunder acquired over the centuries of british colonialism including the infamous elgin marbles from the parthenon an easter island sculpture and the rosetta stone  my favorite"
"799","The stone mark with the greek myth story","holly b","Dec 2019",4,"i was visiting the british museum with a tour she explained the story and show the reasons it was really interesting i knew how to identify the character and the background by the stone "
"800","Fab experience, what a great GEM","GemHunter15576","Dec 2019",5,"one of the fantastic experience we was stayed in the bloomsbury hotel and the staff suggested we should visit tbm as it is very closed by we did and we truly loved it we have explored many knowledge and history of britain and the area surroundings has a lot to offer shops…"
"801","Don't go on school trip day","Dan Rembert","Dec 2019",4,"loved the museum but we came on school trip day and there was children everywhere running and racing and yelling i like kids as much as anyone else but they made it very difficult to relax or view anything in piece plan accordingly the british museum was a bucket list…"
"802","Leisure trip! Good but not that Great","TarunDS","Dec 2019",4,"its a beautiful history museum with so much to see and absorb that it gets overwhelming at times the stuff is great but needs modernisation and needs to become more interesting we had fun but honestly felt boring at times too it was an enriching experience but it ll take…"
"803","total treasure trove","osmium2046","Dec 2019",5,"almost too much and quite crowded at times but as a historical experience hard to match anywhere  worth planning the trip to avoid cultural indigestion and often good exhibitions not free current one on troy well worth a visit  also shop has a great choice of books etc for…"
"804","Impressive, very Impressive","Craig W","Dec 2019",5,"somehow over the years i hadnt managed to get to the british museum seems its slightly outside the cluster well have made up for that now spent hours wandering its halls from korean and chinese pottery to meandering through the history of egypt there was still more to…"
"805","An excellent museum","susihunt","Dec 2019",5,"an excellent museum with an overview of british history and contemporary life good display and great museum building i would definitely recommend a visit"
"806","Awesome","Shikha1958","Dec 2019",5,"every time i come one place i don’t forget bm something new each visit so i have visit section wise to give more time to it this time i saw the ancient egypt and it was amazing fascinating and i was spellbound"
"807","Wow!!!","Sunandski1963","Dec 2019",5,"the artifacts displays from around the world and ages is outstanding  i didn’t know i would ever see cleopatra in my lifetime and there she was mummified  such a treasure and something for everyone   lots of school children can be there so if you have a headache or are…"
"808","Impressive","AdrijanaZecevic","Dec 2019",5,"the museum has an impressive atmosphere here you will find many precious exhibits worth seeing free entry usually there are many tourists bags and backpacks are security checked before entering it is not allowed to make video recordings"
"809","We went to Mars","Mike M","Dec 2019",4,"excellent couple of hours exploring this exhibit and there are other exhibits as well see web site "
"810","It’s free! ","Willdra","Dec 2019",5,"for a free museum it is pretty packed with artifacts we loved seeing the rosetta stone and other exhibits one could easily spend hours looking at everything we visited this museum a few days after going to the louvre and we still had a great time exploring the only con was…"
"811","One of the Best","Dan","Dec 2019",5,"we generally hit the museums when we travel and this one is one of the best wonderful egyptian minoan and early greek collections to actually see the rosetta stone priceless"
"812","Don't go tired...like me","JChow","Dec 2019",4,"since its free admission donation suggested you should at least splurge on an audio guide if youre not part of a guided group tour  then just wander  my biggest mistake was leaving this spectacular institution for near the end of a long day so after the egyptian…"
"813","Troy exhibition another big success","Martyn S","Dec 2019",5,"we are members and visit all the major exhibitions  troy was amongst the very best  it included the story of the myth finds from archaeology and artworks   explanations we accessible  allow two hours"
"814","Wonderful","Elysian","Dec 2019",5,"visited many times now and never tire of it best visited for  hour visit in early morning leaving the rest of the day to avoid crowds and do something else"
"815","Must visit","BrightDots366","Dec 2019",4,"finally got to visit the british museum excellent exhibitionsdisplays n collections my teenage son n i especially enjoyed kathe kollwitzs prints exhibtion and the egyptian collection visit the great court restaurant on the upper floor excellent food a good place to take a…"
"816","When did they become aggressive about donations? :(","MiViMi","Dec 2019",4,"i love this museum and visit regularly  i have even had a membership at various times  my membership is currently expired but i was in london and decided to pop in and revisit some of my favorite displays i love the clock room  after having my bag checked at security i…"
"817","Britain's trophies","wagnerkarinl","Dec 2019",5,"we all know the sun never set on the british empireand here is where you go to see why  amazing collection of trophies and spoils again we tried to hit the highlights but always got distracted by other pieces  there is something for everyone too  in my family we all…"
