"title","comment","trip","writer","written","rating"
"Always a pleasure","Quick call in on way back to train after an overnight stay. No matter how many times you go, there is always something new to see and the quiet within the museum is always a joy away from the hubbub of the city. Could always spend more time here","March 2020","JNan22","Mar 2020",4
"Amazing place to go!","Great place to go. But you need the whole day. It gets tiring and the map is slightly confusing so you might end up going in circles.","February 2020","Wasia","Mar 2020",5
"Walk around ","Went here to pass sometime while out walking  All very interesting an learn a lot about history  Very beautiful building there are plenty of place’s to have light snacks and is easy to get to buy tube","March 2020","rubyrocky","Mar 2020",5
"A gem in the crown of the London Circuit","This time I went to see the Troy Myths and Facts exhibition which was very good but not the best I've seen there. That said the museum is just a remarkable place and its free!!","March 2020","Vincent-in-Ireland","Mar 2020",5
"I came to see Alexander walker","I being here many times, I got off at Holborn  station just follow the sign very easy. I wanted to see Alexander Walker collection it was a small room. Room number 90. Just a few of his Collection was on display. It was free.","March 2020","Rajesh Parmar","Mar 2020",5
"Troy exhibition somehow disappointing","Having seen many extraordinary special exhibitions in the British Museum I was a little disappointed in the first part of the exhibition. Everything was nicely displayed and explained. Having a very good quality museum covering ancient history and art in my hometown, there was…","March 2020","Nessi-3","Mar 2020",4
"Worth it!","We got here right on opening, so no queues to enter. Easily spend half a day wandering the halls and taking in all the history it has to offer. ","September 2019","Mary B","Mar 2020",4
"If museums are your thing... ","Huge place, lots of options to explore. If you really want to enjoy and learn the history, I recommend having more than 2 hours available on your trip itinerary. I personally like visiting museums, this one became one of my favorites. Amazing pieces, art, photos, etc... ","March 2020","Joan","Mar 2020",5
"Do not miss this!","Home of the Rosetta Stone and other fascinating items.  Make a point of visiting and plan on spending several hours.","August 2019","Mark M","Mar 2020",5
"Nice Museum","We enjoyed the British Museum but there were a lot of people there and it was so huge.  My three favorite museums were the Natural History Museum, The Science Museum, The National Museum on Trafalgar Square, and the Docklands Museum in Canary Wharf.","February 2020","CrystalFromMaine","Mar 2020",4
"Troy: Excellent exhibit, over stuffed","Attended the Troy: Myth and Reality exhibition. I was looking forward to it as I had heard great things. The exhibition itself is really well curated - starting with the myth and giving even the uninitiated a chance to learn the story of the Trojan war, then the reality and the…","February 2020","Anna S","Mar 2020",3
"Enchanting place","We went to see the Rosetta stone and found many other wonderful things. There are so many areas with interesting artefacts that it would take several visits to see the majority of the collections. They have free tours, and entrance to the main exhibition galleries is free.…","February 2020","Benjamin A","Mar 2020",5
"Must see","We really loved this museum. Their collection of Egyptian,  Greek and Asian artifacts is incredible.   Imagine, actually seeing the Rosetta Stone.. ","March 2020","Rich K","Mar 2020",5
"Great museum","A wonderful museum with fantastic treasures. Best to plan a visit and focus on particular areas - including some of the smaller quieter rooms with specialist collections. Avoid wet days - it gets very busy.","February 2020","Madalyn H","Mar 2020",5
"Great tour from a museum volunteer","I took my 11 year old to look around and she loved it. There was almost too much for her to see and take in. We visited the foyer cafe which was fine, but staff could do with some hospitality training. We decided to join the ancient Greece free tour which was amazing. The…","February 2020","John T","Mar 2020",4
"Brilliant and free","I have been here several times over the years. There is a vast range of artifacts ranging from pre history to modern day. Considering this museum is free it's fantastic, They could charge and it would be totally fair. This place is educational for everyone and certainly…","March 2020","Ryan E","Mar 2020",4
"What a treat!","We hadn't planned on going here while on our short visit to London. We had only 2 hours to spare and took a walk to this lovely place and we were so happy we did. Easy security lines and a bustling atmosphere is a beautifully laid out space. Wonderful exhibits with something for…","February 2020","Dana D","Mar 2020",5
"Good museum","Its free. And full of artifacts. U can plan ur visit and see the main attractions. Worth a visit but dont spend more than 2 hrs.","February 2020","YusufZ","Mar 2020",4
"WORTH VISITING","After going to the Tutankhamen Exhibition we were keen to visit the Egyptian Rooms at the museum although crowded with a school visit whilst we were there it was most enjoyable We also visited a few of the other rooms whilst there There is so much to see we fully intend to…","February 2020","tigerbabylincoln","Mar 2020",5
"Highly Recommended","I really went to see the Lewis Chessmen and I wasn't disappointed. On my way out, a docent asked me if I'd like to, ""hold an object that is over 400,000 years old?""  Who wouldn't?  I said, ""yes"" and she plopped a hand ax into my hand and explained in detail everything about the…","February 2020","ANNIE M","Mar 2020",5
"Always something interesting to see ","There is always something interesting to see.  Would recommend concentrating on one or two areas   otherwise it could be overwhelming.  My particular favourite is the Parthenon Gallery with the Elgin Marbles.  Amazing. Have visited twice and found something different each time.…","February 2020","Cauli2","Mar 2020",5
"Great for solo exploration","Huge museum with so much world history, great activity for a solo afternoon. Use one of the online ""object tours"" to be sure you hit all the highlights.","March 2020","brdiga","Mar 2020",4
"Mother of all museums","It is a huge sprawling place. Artefacts from all over the world and categorized according to country. It is difficult to finish in one day.See one wing , eat something and then see another wing. The place was full of school children perhaps an educational tour for them.","January 2020","debparamita","Mar 2020",4
"Brilliant day in museum","World wild historical collection from ancient Egypt, Persian, Ancient Greek, to the Chinese. Hire a professional guide is highly recommend, you will learn much more than you expect.","October 2019","Zia","Mar 2020",5
"beautiful,but","Beautiful museum ,but dissapointing the fact of so many stolen cultures.You get the feeling that some of the items don't deserve to be there!","January 2020","Kara","Mar 2020",3
"Incredible!","The British museum is truly amazing. You could honestly spend hours wandering all the halls and marvelling at the incredible collection. However, with teens, we decided to just go to the “must see”  items listed on the map and spend about 2 hours inside the museum. Everyone in…","February 2020","Frankie L","Mar 2020",5
"Good not the best in london","Popped in here as was one of the few last museums I havent been to know london. Lovely building well organised artifacts. Good amount of foot flow no real hold ups to see anything. Queue was about 20 minutes outside which in this weather is a bit rubbish but I can understand…","March 2020","Stacey-marie J","Feb 2020",3
"Amazing museum","There is so much to see here that you will need to return another day.  I saw three exhibits:  German Emergency Money 1914-1924, Disposable?, and the Troy:  Myth and Reality exhibits.  The Troy exhibit featured depictions of the myths about Troy, artifacts found at Troy, and…","February 2020","Robert D","Feb 2020",5
"I could live in here","The security was a little much, but once I got inside, I didn't want to leave. I could spend a whole week in there...probably longer.","October 2019","GabbyGirl007","Feb 2020",5
"Great place! ","If you’re visiting London you have to visit this monumental place, it is part of London’s heritage. Takes me back to my childhood. ","February 2020","Dazzar1234","Feb 2020",5
"Visit to the Troy exhibition ","We visited in half term to see the Troy exhibit which was fabulous. While there we also looked through the Egyptian Halls as we had visited the Tutenkhamun exhibit the day before as well as looking through a number of the other halls. The museum is vast and you could literally…","February 2020","NorthernStar37","Feb 2020",5
"Amazing and historical collection ","Visited British museum At morning there were beautiful historical items,especially Egypt and Mesopotamian amazing collection a day is not enough to see everything huge collection and big museum in London.","February 2020","Surenjoy","Feb 2020",5
"Astounding collection of ancient history","Avoiding the ethical debates that occur surrounding some of the artifacts contained here.  My daughter is studying the ancient Egyptians this term and ancient Greece next so we decided to bring her to look at the corresponding exhibits. Visiting on a Saturday we expected queues…","January 2020","Adam B","Feb 2020",5
"Makes it easy to see the highlights","Visited and saw the Rosetta Stone & Elgin marbles within an hour.  The museum is well appointed to see the highlights if you are pressed for time.  The Grand Court had a well appointed bookstore.    A must see and free.    Helpful hint:  The entrance at the back of the building…","February 2020","tommyjohnsmom","Feb 2020",5
"A brilliant day","It was very interesting and the teenagers loved it. The tour was very good and we learnt many things and would definitely go back again","February 2020","Andrea N","Feb 2020",5
"A little disappointing","Collection excellent of course, but thé way visitors are Bring treated, has declined. To enter the building your have undergo a security check after being led like sheep through iron fences and a custom build tent... Not Nice...","February 2020","orval12","Feb 2020",3
"Wow","I felt like a kid again in the museum. It is true what people said, it has stuff from all around the world. It even has something from my countrie hahaha. ","February 2020","Sebastian C","Feb 2020",5
"British Museum 5 star","Amazing museum ,totally free to enter and definitely worth a shot. Save 2 to 3h to see it , there's no need for more , and it's usually not crowded either.","February 2020","Pedro","Feb 2020",5
"Fantastic day","Visited in half term with my 8yr old daughter and my friend . We had amazing day . The cue was not long to get in . My friend has a disability and we were able to go everywhere we wanted visit . My daughter loved ancient Egypt and Roman history . Could be because she is or has…","February 2020","may103","Feb 2020",5
"Incredible Exhibits","I visited on a clear, warm, sunny weekday in January. It was almost a shame to be inside rather than outside enjoying the rare weather. I arrived at about opening time and there was not a long queue or wait to get through the security checkpoint and “ticket” counter where they…","January 2020","mcmonScotland","Feb 2020",5
"A MUST SEE!","The British Museum is a gem of history.  Don't be daunted by the line to get into the museum.  I almost vaulted but I stayed the course.  Who know when I will be back in London? The line moved along quickly.   The museum is free but there are many stations situated for you to…","February 2020","Christina T","Feb 2020",5
"Troy Exhibition ","Visiting Troy exhibition . Very disappointed to find it over crowded, despite timed tickets. The signage is in small print at knee or ankle height. Unfortunately due to the design of the lighting, shadows are cast on the information boards further increasing the difficulty of…","February 2020","jnkwilliams2016","Feb 2020",2
"Brittish museum a must","This museum is huge so have your walking shoes on! Impressive collection of art and sculpture..do not miss this one !","February 2020","Melanie G","Feb 2020",5
"Well worth the visit","I had always wanted to see the British Museum and on our recent trip to London we made a point of visiting. The exhibits are all arranged very well and we enjoyed the time very much. The highlights were the Rosetta Stone and the Platypus. You can actually see the marks where…","July 2019","John747_12","Feb 2020",4
"Troy exhibition","Disappointed. We are too familiar with the story and films of it. The display was no more than one beautiful pot design, repeated many times, also used in advertising, so already seen. Really it is a traditional museum display with lots of labels to read. It needs a few video…","February 2020","DelBoy322","Feb 2020",2
"Simply Amazing ","I have been to the museum several times and there is always something surprising to see that I missed from a previous visit. Truly a world class museum. Recommend the audio guide to ensure you get the highlights.","February 2020","RealW0rldTraveller","Feb 2020",5
"Mrs","Great  place  for  families    . Kids   are   entertained    and  for   1-1half   hours     , i forget about  busy  London Great  place  to visit   ","February 2020","johnkentuk1972","Feb 2020",5
"A once only","It’s nice enough but not worth going out of your way for. Unless you’re a massive history buff then there are better places to see artefacts and learn more. Only go if you have the time to, I wouldn’t go out of your way for it or try and cram it in.","February 2020","S Woods","Feb 2020",3
"2nd visit ","Absolutely amazing, but probably need 2 days to see all. Well organised, very busy but didn’t feel too crowded. Plenty of washrooms (always important). Amazingly foc to enter but donations gratefully accepted. ","February 2020","lonesomexxxtraveller","Feb 2020",5
"Well presented artifacts where the building is the highlight ","The building and courtyard are the highlight of the experience. A wide variety of exhibits from all over the world. Something for everyone. ","February 2020","David V J","Feb 2020",4
"Always an incredible, fascinating and educational experience","Brilliantly laid out and with so many different objects and rooms that it almost makes your head spin with knowledge after a few hours. Worth visiting just for the central area alone. And free. ","January 2020","KemptownLondon53","Feb 2020",5
"British museum","The museum was huge, and there were many rooms available for a visit. Highly recommend it. It is a great opportunity, and is also free!","February 2020","AnastasiaLi","Feb 2020",4
"Perfect!","We enjoy the museum with family. My kids love it. It's so big and got a lots of things to see. Definitely will come back.","February 2020","Arthur","Feb 2020",5
"Top","Culture everywhere energy in all parts go to see Rosetta groglifhic and Egypt session fantastic I'll come bach","February 2020","Bill","Feb 2020",5
"Always a treat","We came for a couple of hours to see the Egyptian and Mesopotamian artefacts. It’s a lovely space and ideal to while away a few hours.","February 2020","Pam C","Feb 2020",5
"Amazing place, cold spend weeks here!","Absolutely incredible. We went to see the Rodin Exhibition and it was an absolute marvel. The size of the place is a signt to behold and the structure itself well worth a visit, but there's always so mcu to see you will keep going back.","March 2019","Emma Miller","Feb 2020",5
"Troy Exhibit was great","The Exhibit on Troy was very well done, both in presentation and content. It was very crowded and sometimes difficult to see the articles but well worth it in time and effort.","February 2020","roadwarrior50","Feb 2020",5
"Take an active approach -- don't just wander","The BM is one of the great museums of the world, but if you don't have a strategy for your visit, you will not enjoy it as much. The place is something of a warehouse, so wandering around won't do much for you. If you have a specific interest, do a bit of research first. Or take…","February 2020","jxx9595","Feb 2020",5
"Amazing","I'm not a huge history fan but I can completely appreciate what is on offer here, it's actually overwhelming how much there is to see and learn about. Would recommend to anyone, definitely worth a visit for anyone. Suitable for all ages, couples and families with children.","February 2020","Kirsty J","Feb 2020",5
"British museum ","Me and my boyfriend went it is free entry to all the museums but when they have exhibitions you have to pay to see these I loved this museum plenty to see and do and coffee shop is nice and not too expensive would recommend for family’s as it is free and anyone else as well ","February 2020","Clare R","Feb 2020",5
"TROY VISIT","I went with my daughter and her daughter to the Troy exhibition last month. We thoroughly enjoyed it, though it could have been better signposted, particularly to make it easier to follow a logical progression. Unlike Sheelagh, as a wheelchair user I found the low setting of the…","January 2020","johnlefley407","Feb 2020",4
"Great exhibitions but finding a toilet for disabled people is a nightmare","There is so much too see in here but the infrastructure is quite poor. The toilets are smelly after 11.00 a.m. and for disabled people there is a very limited availability. The museum is in need of an upgrade. ","February 2020","Laedine","Feb 2020",4
"Troy Exhibition","We were disappointed with this exhibition. The information notices were difficult to read. They were placed low which meant that the light was obscured when people leaned in to look at the item exhibited. We are members but we bought tickets for friends. We felt the ticket price…","February 2020","SheelaghKeast","Feb 2020",4
"A very quick visit ","It was a very quick visit, but this place is an inspiration as well as being an institution. To see the Roman, Greek & Egyptian artifacts are amazing. The rosetta stone is a very important piece of rock! It's pure history. ","February 2020","chuckofcorby","Feb 2020",5
"Amazing Place, FREE and Friendly!","It's a long while since our last visit and decided to take our two nieces for a wander round. There was a long queue, as it was school holidays and a Saturday, but one of the staff noted my eldest niece is pregnant and allowed us straight through - that was really appreciated as…","February 2020","Allan H","Feb 2020",5
"An amazing collection for free!","Get there early at the weekend because it gets busy fast. It is well laid out and plenty of amazing artefacts in addition to the famous Egyptian ones. ","February 2020","DavetheFisher","Feb 2020",5
"Huge, long lines for security check and 2 pounds for a map","It takes about 10 minutes in line to get checked, and it’s always crowded. It’s annoying to have to pay 2 pounds for a map. Clearly it has amazing exhibitions but download a map prior and focus on a few exhibits to get the most as it could take days.","February 2020","veryfreqsolotravel","Feb 2020",3
"So amazing","This is a wonderfull place with masters paints. I go there t wice a year and i'm never bored. It's always an amazing  moment .","February 2020","Edgar.monty","Feb 2020",5
"Simply amazing!","History, art and civilization, perfect organisation altogether! I will visit it again when I go to London again, one day of visiting is not enough!","February 2020","Voicu_Amelia","Feb 2020",5
"A must","A morning with lunch. Great Egyptian exhibition. Seating for the cafe could be extended as people were sitting on floor to eat. Not really well equipped for half term.","February 2020","Helene2707","Feb 2020",5
"Excellent","I often revisit and always make for the Assyrian Rooms. The wall panels are interesting if you spend time examining them. Lots of detail. And the shop has many books and other things to buy. But you cannot do the whole museum in one go. It is too big. Another part that is of…","July 2019","Mark","Feb 2020",5
"It was a great museum ","I visited firs time . A lot of art there. So huge . Entrance is free . Clean , tidy . There were beautiful historical items there. I think it is a biggest and rich museum in the word.","February 2020","Ayhan D","Feb 2020",5
"Family Visit","A great day out, to much to do in one day so we got a map and took 10 minutes to choose which parts we wanted to look at. Good facilities and very clean toilets. Free to get in but there are places to make a donation. Free WiFi. Will definitely go back.","February 2020","Andy G","Feb 2020",4
"Plenty of space","Though this is a very big museum there's lots of space, you can pace yourself which is better than trying to cram to much in. Great eating options.","February 2020","John T","Feb 2020",5
"Impressive grand building - Very London but bigger than most !","Zig zag queuing barriers put out prematurely when no queues evident.Walking 20 times further to the entrance than necessary is unwelcome when you already walk so much in London. Free entry, but after obligatory bag search there is a bank of manned donation desks where there is…","February 2020","NIKANGXXX","Feb 2020",4
"brilliant artefact","Quite loud as there was a few babies but apart from that it was very clean .I recommend this museum to someone who enjoys learning about history .","April 2019","MiMi","Feb 2020",4
"Booking website should be burnt down and rebuilt","Been trying to book tickets for troy exhibition all week and impossible to book through website as it doesnt load properly on android. Now saying sold out. Useless ","February 2020","Jack A","Feb 2020",1
"A place to visit ","Wonderful experience... Hundreds of people visiting one of the most well known Museums in the world.  A huge journey in the history, life, culture and civilisation of so many countries in the world.  Surely a memorable destination. ","February 2020","DionysosG.","Feb 2020",5
"Operational reasons, huh?","So your website tells me that today I could have seen a free exhibition of prints and lucky me it’s Friday so the museum is open till 8.30 pm. After making my way through completely over complicated and unnecessary amounts of zigzagging Disneyland style queuing barriers, I…","February 2020","Hokeypokey13","Feb 2020",2
"Always, always, always worth a visit!","Currently, the Troy Exhibition is really compelling, but this, the best museum in the world, is always worth a visit. There’s so much to see and absorb! ","February 2020","Emyr1","Feb 2020",5
"Have look at the marbles...","half -term, so very busy but still worth the visit. Only visit a few room but spent a good while just seating and looking at the  Elgin Marbles. WOW","February 2020","Happy Old man","Feb 2020",4
"Exciting Museum for History Buffs!","I've wanted to go to The British Museum since I was a child, and I was not disappointed. Their collection of Egyptian artifacts is amazing, and we enjoyed the Byzantine collection, as well. But perhaps most exciting was the special exhibition on Troy. OMG, I am a lifelong fan of…","February 2020","the_3_adventurers","Feb 2020",5
"British Museum Worthwhile","British Museum is a worthwhile day's excursion for just a donation and plenty of time to immerse in history.  Many available resting spots for viewing and learning.  Food and beverages and shopping for gifts are also available as well as guided tours. ","February 2020","K Sui","Feb 2020",5
"great museum, lovely souvenir shop","Went with our pupils to British museum yesterday. Great place, although busy, still enjoyable visit. There is enough to see so that you can go to quieter rooms","February 2020","Els Peeters","Feb 2020",4
"Amazing museum","Free entrance , although some pressure at entrance to pay donation . You can donate a payment inside museum if you choose to.  Fantastic building and displays which go from room to room filled to the brim with items/ information from all cultures/countries and through the ages .…","February 2020","Tess","Feb 2020",5
"Great ","Went in the back door at 14, no que. Spent two hours in ancient Egypt - loved it! Que at the front gate when we left<U+0001F609>","February 2020","Kortner69","Feb 2020",5
"Great museum ","It's a great museum. It's a bit sad though the fact that so many great art pieces and sculptures from other countries are being displayed at this museum and not their place of origin. Watch it is almost always very busy! ","February 2020","Chara","Feb 2020",5
"Its called the BRITISH museum but..................","if you want the history of the world from its beginnings this is it - If you like to read every subject note allow at 2 days to digest  - seems pretty obsessed with burials throughout the world  Just decide what you would like to see and learn about and go back again","February 2020","tottenham dve","Feb 2020",4
"Lots of things to see","Free entrance and a lot of space to actually see the artifacts. Very interesting even for kids around 7-11 years. Pick what you like, do not try to see everything during one visit, the place is huge.","February 2020","Jalle78","Feb 2020",4
"Top 5 museums on the planet","A must. What else needs to be said? Go for the Rosetta Stone, but gale at so much more Easy to get to, lots of docents walking around.. easily top 5 historic landmarks ","February 2020","Steven K","Feb 2020",5
"Half term visit","Fantastic museum but incredibly busy. The queue to get in was enormous, even at 10am and then it was difficult to see the exhibits due to the volume of people inside. Particularly distasteful was being directed to a ‘colleague’ immediately after bag checking whose job was to ask…","February 2020","claire p","Feb 2020",3
"Great one stop cultural compendium","Outstanding collection.  Superior write ups and displays.  Ancient Briton and Classical world sections particularly compelling.  So are the scones.  Afternoon tea in upstairs good deal.  Tip:  avoid weekends if possible","August 2019","Jim S","Feb 2020",5
"Troy Exhibition","Excellent exhibition. A little overcrowded at times. Very well laid out. Exhibit notes could be a little larger print. ","February 2020","KateParke23","Feb 2020",5
"Tour","First class facilities Great access for disabled including modern toilets  Good value and well stocked shop Helpful staff Good service at cafetaria","November 2019","Dan T","Feb 2020",5
"Troy","A specific visit to see the Troy Exhibition and to take advantage of our Christmas Gift Membership. Troy fascinating and worth a visit before it closes in March 2020!","February 2020","Neil Stevens","Feb 2020",5
"Rainy day activity","We spent a few hours in the late afternoon here.  The building itself is so beautiful! We were able to get to most of the exhibits in 2 hours but the museum closed before we got to the bottom floor.  Will definitely head back to finish it off.","February 2020","Kelly S","Feb 2020",4
"Chilly visit to artefacts","We visited British Museum on 18.2.2020. We enjoyed our visit a lot. We downloaded, printed and marked parts of museum we wanted to see and it was great idea. Because museum is simply huge. We had very pleasant time and spent there a bit over 4h, including lunch at Pizzeria (btw…","February 2020","Zuzana P","Feb 2020",4
"Troy exhibition, British Museum","Visited the Troy exhibition at The British Museum this week. Overall good but let down by lack of more thought in presentation. First the good- Great selection of items brought together from all over the World. Good sequence of groups exploring fact, fiction and art. But the…","February 2020","David S","Feb 2020",3
"Superb museum","Amazing place. Very informative and so much to see. Free entry after a quick bag search! (Unless you’re like the woman in front of us who refused to let go of her bag lol <U+0001F602>) Ideal place to visit as the weather was bad too. Cafes to have a drink and snack in, but be prepared not…","February 2020","Cathie B","Feb 2020",5
"Up close and personal","You can come in this amazing place for free, but if you can afford to donate, please do. It's worth it to keep this place going. You can work your way through relics from ancient lands and civilisations,and both the ornate beautiful stuff and the day to day stuff are…","December 2019","Ann M","Feb 2020",4
"Time Travel","A must visit in London. Time travel through history and different countries. Plan your visit as it requires minimum 3 hours to do justice. Stay hydrated and prepare for a good walk.","November 2019","911ravindras","Feb 2020",4
"It is huge! Plan to spend the better part of your day here!","Oh my goodness, the queuing is set up to try and get you in efficiently.  But once inside this beautifully immense space, you need time to properly walk and immerse yourself. It is huge here. Almost overwhelming.  It has lots of space around exhibits and doesn't feel crammed.  I…","February 2020","Anne C","Feb 2020",4
"One of the best museums I have been in","Its one of the largest and most interesting museum in the world. There are exhibits of ancient cultures from across the world and endless amounts of treasures. I recommend spending the entire day here, but even if you had a month you couldn't explore everything here. When I went…","June 2019","Lawrence Yuo Hsih Chu","Feb 2020",5
"Thousands of years of World's History in one place.","The British Museum is definitely a must see. Free entrance since the opening day, it is an absolute moving experience. Browsing throught history, room by room, is riveting.  Rosetta Stone and the Partenon are, of course, masterpieces, but they are not the only one. Every time I…","February 2020","Maria12gn","Feb 2020",5
"Family DAy","great for a day with the family, something for everybody of all ages. staff helpful, we went early morning and it was quite quiet (Tuesday)","December 2019","Anthony","Feb 2020",5
"The British Museum","It was absolutely impressive! We enjoyed it all, especially the Egyptian section. Pity it closed earlier that day- secutity mesures, they said.","February 2020","Virginia R","Feb 2020",4
"Overwhelming amount of history!","You could probably spend a month here easily if you chose.  Easily a week! I have never been in a place with so much history in one spot. It makes the Smithsonian look like amateur hour.   No matter what you are interested history-wise, there is something here for you. At the…","July 2019","thehippoguy","Feb 2020",5
"Best museum in the world","We spent 10 hours and could’ve spent 10 more. The exhibits are well done, there are things you will not see anywhere else in the world. Every staff member is helpful.","February 2020","Frank","Feb 2020",5
"BP's Troy exhibition - excellent","We booked in advance and greatly enjoyed this exhibition. I'd done some reading up first so much of the history in the exhibition made more sense so I recommend doing a Wiki on the history of the city first. We spent a couple of hours there having arrived early and spent another…","February 2020","Paul T","Feb 2020",5
"Vacations","Is very large museum with so many exhibitions to see in the center of London. We had a great time. It also has a free entrance which is very important I hope keep that way","February 2020","<U+039B><U+03AC>µp<U+03C1><U+03BF><U+03C5> <U+039A>ate<U+03C1><U+03AF><U+03BD>a","Feb 2020",4
"Troy Exhibition - very crowded but BRILLIANT","As it's so crowded best to buy the catalogue first and study it before visiting to get the most from the experience. Great to see so many parents telling the ancient Greek stories to their kids! A must see.","February 2020","DrLeilaE","Feb 2020",5
"A walk back into history","The Egyptian and Assyrian exhibits are an amazing insight into those nations life and history.   We thoroughly enjoyed walking amongst statues, wall reliefs and sarcophagus which are thousands of years old.","January 2020","Annma27","Feb 2020",5
"A classical museum","The British museum is a must seen in London. It houses very important artefacts showing the genius of mankind numerous civilisations. The little downside in my opinion would be a too classical approach to museology. It sometimes lacks the more immersive and interactive…","February 2020","Jeremy Y","Feb 2020",4
"A memorable trip down the pathways of history","The British Museum is a must-see attraction in London - more so for those who are interested in art, history, anthropology and architecture. Another great thing about the place is that it is free - however, you would be requested by the volunteers to donate.  The sheer number of…","February 2020","Dr. Kingshuk Das","Feb 2020",4
"Troy exhibition","I was a bit apprehensive about taking my partner and friend to see the exhibition. I was educated with regards to classical Greece and have read the Iliad and Odyssey. They had little prior knowledge of either. However they thoroughly enjoyed it and were probably did so more…","February 2020","Helen K","Feb 2020",5
"Beautiful","Extremely interesting. It captures the different aspects of everyday life of all the cities of the past and not. Interesting the approach to ancient works of modern installations, not as meaningless as happens in the modern niche. interesting is the part dedicated to the objects…","February 2020","Sonia","Feb 2020",5
"Very busy","Went on a Saturday morning, quite busy and there is a lot to see and take in. Interssting stuff, could actually miss things though the way the rooms are set up.","October 2019","MichelleMoore84","Feb 2020",3
"Britain Museum?","Britain museum? Why?   I can not understand the reason of the name of this museum!  You can not find anything from Britain! Everything is from other countries..  so maybe it will be better to change the name.. ","December 2019","Choosetravelling","Feb 2020",1
"Great place on a rainy day","We enjoyed ourselves visiting the British Museum. It’s an attractive building in and out. Catering facilities are available though the seating by the coffee bar is woefully inadequate. Furthermore the toilets are inadequate for the ladies; there were the inevitable waiting…","February 2020","JDW68","Feb 2020",5
"Never on a Sunday ","Never on a Sunday. Long queue on the street in the rain. No wAy to bypass it despite having timed expensive tickets to Troy exhibition until inside the courtyard. The place is way too busy. Exhibition impossible to enjoy as minimal lighting and twice as many people as there…","February 2020","Cp1","Feb 2020",1
"It’s free! Worth a visit","Last time I came here was on a school trip some 30 years ago, so it’s changed a lot in that time. Depending on what you’re interested in you could spend hours looking around. The more general interest exhibits (think Egyptian mummies) can get very busy, so be aware there will be…","February 2020","j12","Feb 2020",3
"Great visit to Troy exhibition","Visited the wonderful ‘Troy: myth and reality’ at the British Museum. We booked in advanced which seemed sensible as it avoids the initial queues. Unfortunately, although allotted a time slot, it was very crowded initially, requiring queuing to visit each exhibit. Having said…","February 2020","Will6886","Feb 2020",4
"Colonial Legacy Rethought","This is a storehouse of heirlooms in which the British display the loot they pillaged from their colonies.","February 2020","Journey814115","Feb 2020",3
"Fantastic ass always","Haven't been to the BM for 8 years. Much improved. Exhibits well annotated. Not too crowded in February.","February 2020","PRPottawa","Feb 2020",5
"Head to the Japanese room","Fabulous building with amazing exhibits.  This time I visited the Japanese room which is one of the more remote areas of the museum, but worth the trip up the stairs.  One of the star pieces is a suit of Samurai armour which is so intricate and beautiful. ","February 2020","Kathinated","Feb 2020",4
"Interesting","The best is that is free. So you can visit it when you want. Many things to see. Love The egyptian part.","February 2020","CarmenB","Feb 2020",5
"One of London’s Treasures","The British museum is a must see when you are in London. We visited on the weekend, while there was an Achilles exhibit that was being challenged. Demonstrators were everywhere in the museum to boycott BP who was sponsoring the exhibit. Was able to see the Rosetta Stone, which…","February 2020","Sivan C","Feb 2020",4
"Amazing day at the British museum","I visited the British museum and it was an amazing experience. The museum has different story to narrate from various countries and it was an eye opener.","February 2020","Fay","Feb 2020",5
"Wonderful ","Had to queue for a couple of minutes to go through security but that seems to be common all over London now.   Very friendly staff and some really interesting artefacts to look at. I’m not really into “old things” but this was fascinating.   The central space was a piece of art…","February 2020","Paul C","Feb 2020",5
"So much to see!","An amazing collection that you could easily spend a full day to get around everything The central modern area is breathtaking","November 2019","CAL","Feb 2020",5
"Great day out for all","A great and ‘free’ place to visit. A must if you love history, if you’re not into history before going, this will definitely make you a lot more interested. I could spend days here and the architecture of the building is outstanding. If you are planning a trip to London this…","February 2020","Gary Langdale","Feb 2020",5
"Something for everyone","Many,  perhaps most, of its exhibits do not concern Britain.  It is a museum built to help the British, and visitors, learn about all sorts of things.  I had hoped for more exhibits on ancient Britain, but was pleased with the exhibits on ancient Rome, ancient Greece,  and…","September 2019","Daniel","Feb 2020",5
"Very good 90 minute tour with Mandy","We did an amazing 90 minute highlights tour with Mandy, who is a truly excellent guide. She was very enthusiastic and knowledgeable and made the experience special. There is a wide range of exhibits in this museum and one could spend days roaming the museum halls.","February 2020","FJu","Feb 2020",5
"Exceptional","A family trip to see the Ancient Egyptian galleries. Breathtaking and superbly well set out with helpful explanatory material. The Great Court is a stunning focal point for the museum.","February 2020","JBL","Feb 2020",5
"Quick visit having previously worked at the Museum","Just popped in as worked at the Museum many years ago.  It’s an amazing place still. It’s great it’s still a free Museum and open to everyone.  Having visited several Museums in Europe it was noticeable that I didn’t see any labels to the artefacts in French or German they were…","February 2020","Mena","Feb 2020",5
"Visit the Top 10","First go to information desk to get a map of the museum. In 2 hours, we could visit the Top 10 works of art.  ","February 2020","Philippe V","Feb 2020",5
"Just amazing","Went with friends and loved it. So much to see. Islamic section was amazing but they had another one which you pay extra for upstairs. ","June 2019","fessells","Feb 2020",5
"Best museum in London","History of the world all under one roof. See treasures and artifacts from all over the world, from the Rosetta Stone, the Sutton Ho kings helmet  Egyptian mummies  Roman coins, Asian ceramics-the list goes on ","February 2020","DanNorwich","Feb 2020",5
